Basin Id|Segment ID|On Segment|RFA/Tag ID|Station ID|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Comment|Submitting Entity|Collecting Entity|Monitoring Type|Parameter Code|Greater Than/Less Than|Value|MDL|LOQ|Data Qualifier|Verify Flag|Validation Flag|Rating Flag|Nelac Status|Exempt Status
12|1221D|Y|BR45184|11818|06/06/2012|12:10|0.3|||||||BR|BR|RT|00010||25|||||||USABLE|
12|1221D|Y|BR45184|11818|06/06/2012|12:10|0.3|||||||BR|BR|RT|00530||7|||||||USABLE|
12|1221D|Y|BR43256|17542|09/15/2011|11:10|0.3|||||||BR|BR|RT|00010||22.1|||||||USABLE|
12|1221D|Y|BR43787|17542|12/01/2011|12:20|0.3|||||||BR|BR|RT|00625|<|0.2||||Y|||USABLE|
12|1221D|Y|BR43787|17542|12/01/2011|12:20|0.3|||||||BR|BR|RT|72053||10||||Y|||USABLE|
12|1221D|Y|BR44396|17542|03/01/2012|12:10|0.3|||||||BR|BR|RT|00094||1120|||||||USABLE|
12|1221D|Y|BR44396|17542|03/01/2012|12:10|0.3|||||||BR|BR|RT|00400||8.2|||||||USABLE|
12|1221D|Y|BR44396|17542|03/01/2012|12:10|0.3|||||||BR|BR|RT|00671||0.37|||||||USABLE|
12|1221D|Y|BR44396|17542|03/01/2012|12:10|0.3|||||||BR|BR|RT|01351||3|||||||USABLE|
12|1221D|Y|BR44392|11818|03/01/2012|12:55|0.3|||||||BR|BR|RT|00400||9|||||||USABLE|
12|1221D|Y|BR44392|11818|03/01/2012|12:55|0.3|||||||BR|BR|RT|00665||0.06|||||||USABLE|
12|1221D|Y|BR44392|11818|03/01/2012|12:55|0.3|||||||BR|BR|RT|01351||3|||||||USABLE|
12|1221D|Y|TX05152|11818|01/23/2012|11:50|0.3||||||Water clear with brown tint.|TX|LR|RT|01351||1|||||||USABLE|
12|1221D|Y|TX01778|11818|04/18/2011|11:10|0.3||||||Water clear, soft bottom. Swallows on nest. No algae, cow pattie in water. Turlte, tadpoles, minnows.|TX|LR|RT|82903||0.32|||||||USABLE|
12|1221D|Y|TX01778|11818|04/18/2011|11:10|0.3||||||Water clear, soft bottom. Swallows on nest. No algae, cow pattie in water. Turlte, tadpoles, minnows.|TX|LR|RT|01351||1|||||||USABLE|
12|1221D|Y|TX05201|11818|09/19/2011|11:00|0||||||completely dry|TX|LR|RT|01351||6|||||||USABLE|
12|1221D|Y|TX05220|11818|11/14/2011|11:15|0||||||creek dry|TX|LR|RT|01351||6|||||||USABLE|
12|1221D|Y|TX05220|11818|11/14/2011|11:15|0||||||creek dry|TX|LR|RT|72053||36|||||||USABLE|
12|1221D|Y|TX01718|11818|02/14/2011|10:40|0.3||||||Water somewhat turbid, some attached algae.|TX|LR|RT|72053||36|||||||USABLE|
12|1221D|Y|TX05123|11818|12/12/2011|11:30|0.0984||||||Water clear.|TX|LR|RT|00400||8.3|||||||USABLE|
12|1221D|Y|TX01748|11818|03/21/2011|11:20|0.3||||||Floating and attached algae. Water brown - had odor.|TX|LR|RT|82903||0.29|||||||USABLE|
12|1221D|Y|BR29445|11818|03/01/2007|12:45|0.3|||||||BR|BR|RT|00671|<|0.04||||Y|||USABLE|
12|1221D|Y|BR29445|11818|03/01/2007|12:45|0.3|||||||BR|BR|RT|31699||1100|||||||USABLE|
12|1221D|Y|BR29446|17542|03/01/2007|13:20|0.3|||||||BR|BR|RT|31699||410|||||||USABLE|
12|1221D|Y|BR27968|17542|09/14/2006|09:55|0.3|||||||BR|BR|RT|72053|>|7||||Y|||USABLE|
12|1221D|Y|BR28825|11818|12/12/2006|11:45|0.3|||||||BR|BR|RT|01351||2|||||||USABLE|
12|1221D|Y|BR28824|17542|12/12/2006|11:00|0.3|||||||BR|BR|RT|00625||0.26|||||||USABLE|
12|1221D|Y|BR30245|11818|05/30/2007|11:00|0.3|||||||BR|BR|RT|00671||0.46|||||||USABLE|
12|1221D|Y|BR33931|11818|12/02/2008|12:25|0.3|||||||BR|BR|RT|00010||6.8|||||||USABLE|
12|1221D|Y|BR34692|11818|03/05/2009|10:45|0.3|||||||BR|BR|RT|00094||1810|||||||USABLE|
12|1221D|Y|BR34692|11818|03/05/2009|10:45|0.3|||||||BR|BR|RT|00300||9.1|||||||USABLE|
12|1221D|Y|BR34692|11818|03/05/2009|10:45|0.3|||||||BR|BR|RT|00400||8|||||||USABLE|
12|1221D|Y|BR32709|11818|06/02/2008|11:20|0.3|||||||BR|BR|RT|01351||2|||||||USABLE|
12|1221D|Y|BR35713|17542|06/11/2009|11:20|0.3|||||||BR|BR|RT|00300||4.9|||||||USABLE|
12|1221D|Y|BR35713|17542|06/11/2009|11:20|0.3|||||||BR|BR|RT|00530||16|||||||USABLE|
12|1221D|Y|BR35713|17542|06/11/2009|11:20|0.3|||||||BR|BR|RT|00665||0.77|||||||USABLE|
12|1221D|Y|BR35713|17542|06/11/2009|11:20|0.3|||||||BR|BR|RT|00671||0.55|||||||USABLE|
12|1221D|Y|BR30984|11818|09/11/2007|11:05|0.3|||||||BR|BR|RT|00400||7.9|||||||USABLE|
12|1221D|Y|BR34700|17542|03/05/2009|12:15|0.3|||||||BR|BR|RT|00400||8.4|||||||USABLE|
12|1221D|Y|BR34700|17542|03/05/2009|12:15|0.3|||||||BR|BR|RT|00530||59|||||||USABLE|
12|1221D|Y|BR31656|11818|12/12/2007|11:10|0.3||||||light rain|BR|BR|RT|00620||3.01|||||||USABLE|
12|1221D|Y|BR33441|17542|09/18/2008|11:06|0.3|||||||BR|BR|RT|31699||150|||||||USABLE|
12|1221D|Y|BR33409|11818|09/16/2008|11:10|0.3|||||||BR|BR|RT|00010||18.9|||||||USABLE|
